Bus Name (English),Station 1,Station 2,Station 3,Station 4,Station 5,Station 6,Station 7,Station 8,Station 9,Station 10,Station 11,Station 12,Station 13,Station 14,Station 15,Station 16,Station 17,Station 18,Station 19,Station 20,Station 21,Station 22,Station 23,Station 24,Station 25,Station 26,Station 27,Station 28,Station 29,Station 30,Station 31,Station 32,Station 33,Station 34,Station 35,Station 36,Station 37
Bahon Bus Route,Mirpur 14,Mirpur 10,Mirpur 2,Mirpur 1,Ansar Camp,Bangla College,Technical,Darussalam,Kallyanpur,Shyamoli,Asad Gate,Dhanmondi 27,Dhanmondi 32,Kalabagan,Science Lab,Katabon,Shahbag,High Court,Press Club,Paltan,Dainik Bangla Moor,Motijheel,Arambagh,Kamalapur,Mugda,Bashabo,Khilgaon,,,,,,,,,,
Baishakhi Bus Route,Savar,Hemayetpur,Amin Bazar,Gabtoli,Technical,Kallyanpur,Shyamoli,Shishu Mela,Agargaon,Bijoy Sarani,Jahangir Gate,Mohakhali,Gulshan 1,Badda Link Road,Bashtola,Uttar Badda,Notun Bazar,,,,,,,,,,,,,,,,,,,,
Balaka Bus Route,Sayedabad,Maniknagar,TT Para,Kamalapur,Malibaag Moor,Mouchak,Mogbazar,Satrasta,Nabisco,Mohakhali,Chairman Bari,Banani,Kakoli,Staff Road,MES,Shewra,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Abdullahpur,Tongi,Station Road,Mill Gate,Board Bazar,Gazipur Bypass,Gazipur Chowrasta,,,,,,,
Basumati Bus Route,Gabtoli,Technical,Kallyanpur,Shyamoli,Shishu Mela,College Gate,Asad Gate,Manik Mia Avenue,Khamar Bari,Farmgate,Kawran Bazar,Bangla Motor,Shahbag,Matsya Bhaban,High Court,Press Club,Paltan,GPO,Golap Shah Mazar,Naya Bazar,Babubazar,Keraniganj,Maowa,,,,,,,,,,,,,,
Basumati Transport Bus Route,Gabtoli,Mirpur 1,Sony Cinema Hall,Mirpur 2,Mirpur 10,Mirpur 11,Purobi,Kalshi,ECB Square,MES,Shewra,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Abdullahpur,Tongi,Station Road,Mill Gate,Board Bazar,Gazipur Chowrasta,,,,,,,,,,,,,
Best Satabdi AC Bus Route,Azimpur,Nilkhet,New Market,City College,Kalabagan,Dhanmondi 32,Dhanmondi 27,Khamar Bari,Farmgate,Jahangir Gate,Mohakhali,Chairman Bari,Sainik Club,Banani,Kakoli,Staff Road,MES,Shewra,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Diabari,,,,,,,,,,,
Best Transport Bus Route,Mirpur 10,Kazipara,Shewrapara,Taltola,Agargaon,Khamar Bari,Farmgate,Kawran Bazar,Bangla Motor,Shahbag,Matsya Bhaban,High Court,Press Club,Paltan,GPO,Gulistan,Motijheel,Sayedabad,Jatrabari,,,,,,,,,,,,,,,,,,
Bhuiyan Paribahan Bus Route,Japan Garden City,Ring Road,Adabor,Shyamoli,Shishu Mela,Agargaon,Zia Uddyan,Bijoy Sarani,Old Airport,Jahangir Gate,Mohakhali,Chairman Bari,Sainik Club,Kakoli,Banani,Staff Road,MES,Shewra,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Abdullahpur,,,,,,,,,,,
Bihanga Bus Route,Mirpur 12,Mirpur 11,Mirpur 10,Mirpur 10,Kazipara,Shewrapara,Agargaon,Bijoy Sarani,Jahangir Gate,Mohakhali,Wireless,Gulshan Bridge,Gulshan 1,Badda,Notun Bazar,,,,,,,,,,,,,,,,,,,,,,
Bikalpa Bus Auto Service,Mirpur 12,Pallabi,Purobi,Mirpur 11,Mirpur 1,Kazipara,Shewrapara,Taltola,Agargaon,Bijoy Sarani,Farmgate,Kawran Bazar,Bangla Motor,Shahbag,Matsya Bhaban,High Court,Press Club,Paltan,GPO,Gulistan,Motijheel,,,,,,,,,,,,,,,,
Bikalpa Bus City Super Service,Mirpur 12,Pallabi,Purobi,Mirpur 11,Mirpur 10,Kazipara,Shewrapara,Taltola,Agargaon,Shyamoli,Shishu Mela,College Gate,Asad Gate,Dhanmondi 27,Dhanmondi 32,Kalabagan,City College,New Market,Nilkhet,Azimpur,Dhakeshwari,,,,,,,,,,,,,,,,
Bikash Bus Route,Azimpur,Nilkhet,New Market,City College,Kalabagan,Dhanmondi 27,Dhanmondi 32,Khamar Bari,Farmgate,Jahangir Gate,Mohakhali,Sainik Club,Banani,Kakoli,Kuril Bishwaroad,Khilkhet,Airport,Abdullahpur,Kamarpara,,,,,,,,,,,,,,,,,,
Bikash Paribahan Bus Route,Sign Board,Matuail,Rayerbag,Shanir Akhra,Jatrabari,Sayedabad,Gulistan,Chankhar Pul,Bakshi Bazar,Azimpur,Nilkhet,New Market,City College,Kalabagan,Dhanmondi 27,Dhanmondi 32,Khamar Bari,Farmgate,Jahangir Gate,Mohakhali,Chairman Bari,Sainik Club,Banani,Kakoli,Staff Road,MES,Shewra,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Abdullahpur,Kamarpara,Dhour
Bondhu Paribahan Bus Route,Gulistan,GPO,Paltan,Kakrail,Shantinagar,Malibaag Moor,Mouchak,Malibagh Railgate,Hazipara,Rampura Bazar,Rampura Bridge,Merul Badda,Shahjadpur,Bashtola,Notun Bazar,,,,,,,,,,,,,,,,,,,,,,
Borak Bus Route,Palashi,Chittagong Road,Sonargaon,Chasara,Meghna Ghat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bashumoti Bus Route,Gazipur Chowrasta,Tongi,Airport,Khilkhet,Kalshi,Pallabi,Mirpur 11,Mirpur 10,Mirpur 1,Gabtoli,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brihottor Mirpur Bus Route,Chiriyakhana,Mirpur 1,Gabtoli,Amin Bazar,Savar,Nobinagar,Chandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRTC Bus Route,Madanpur,Kanchpur,Chittagong Road,Sign Board,Matuail,Rayerbag,Shanir Akhra,Jatrabari,Sayedabad,Gulistan,GPO,Paltan,Press Club,High Court,Matsya Bhaban,Shahbag,Bangla Motor,Kawran Bazar,Farmgate,Khamar Bari,Asad Gate,College Gate,Shishu Mela,Shyamoli,Kallyanpur,Technical,Gabtoli,Amin Bazar,Hemayetpur,Savar,,,,,,,
BRTC Elevated Expressway Bus Route,Rajlakshmi,Airport,Kawlar,Elevated Express Way,Tejgaon College,Khejur Bagan,Songsod Bhaban,Bijoy Sarani,Elevated Express Way,Kawlar,Airport,Rajlakshmi,,,,,,,,,,,,,,,,,,,,,,,,,
BRTC Bus Route,Motijheel,Gulistan,GPO,Paltan,Press Club,High Court,Matsya Bhaban,Shahbag,Bangla Motor,Kawran Bazar,Farmgate,Jahangir Gate,Mohakhali,Chairman Bari,Kakoli,Banani,Staff Road,MES,Shewra,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Abdullahpur,Tongi,,,,,,,,,
BRTC Bus Route,Mohammadpur,Asad Gate,Khamar Bari,Farmgate,Jahangir Gate,Mohakhali,Wireless,Gulshan 1,Badda Link Road,Uttar Badda,Shahjadpur,Bashtola,Notun Bazar,Nadda,Bashundhara,Jamuna Future Park,Kuril Bishwaroad,,,,,,,,,,,,,,,,,,,,
BRTC Bus Route,Kamalapur,Motijheel,Gulistan,GPO,Paltan,Press Club,High Court,Matsya Bhaban,Shahbag,Bangla Motor,Kawran Bazar,Farmgate,Jahangir Gate,Mohakhali,Wireless,Gulshan 1,Badda Link Road,Uttar Badda,Shahjadpur,Bashtola,Notun Bazar,Nadda,Bashundhara,Jamuna Future Park,Kuril Bishwaroad,,,,,,,,,,,,
BRTC Bus Route,Bhulta,Kanchan Bridge,Nila Market,300 Feet,Bashundhara 300 Feet Gate,Kuril Bishwaroad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRTC Bus Route,Motijheel,Gulistan,GPO,Paltan,Kakrail,Shantinagar,Malibaag Moor,Mouchak,Malibagh Railgate,Hazipara,Rampura Bazar,Rampura Bridge,Merul Badda,Shahjadpur,Bashtola,Notun Bazar,Nadda,Bashundhara,Jamuna Future Park,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Abdullahpur,,,,,,,,,,
BRTC Bus Route,Mohammadpur,Star Kabab,Dhanmondi,Jigatola,City College,Science Lab,Shahbag,Matsya Bhaban,High Court,Press Club,Paltan,GPO,Gulistan,Motijheel,,,,,,,,,,,,,,,,,,,,,,,
BRTC Bus Route,Gabtoli,Mirpur 1,Sony Cinema Hall,Mirpur 2,Mirpur 10,Mirpur 11,Purobi,Kalshi,ECB Square,MES,Shewra,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Abdullahpur,Tongi,Mill Gate,Board Bazar,Gazipur Bypass,Gazipur Chowrasta,,,,,,,,,,,,,
BRTC Articulated Bus Route,Balughat,Cantonment,Bijoy Sarani,Farmgate,Bangla Motor,Shahbag,Paltan,Gulistan,Motijheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantonment Bus Route,Mirpur 14,Mirpur 10,Mirpur 2,Sony Cinema Hall,Mirpur 1,Ansar Camp,Technical,Gabtoli,Amin Bazar,Hemayetpur,Savar,,,,,,,,,,,,,,,,,,,,,,,,,,
Cantonment Mini Service Bus Route,Mirpur 14,Sainik Club,Kakoli,Banani,Mohakhali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Champion Bus Route,Bhashantek,Mirpur 14,Mirpur 10,Mirpur 2,Sony Cinema Hall,Mirpur 1,Ansar Camp,Technical,Gabtoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Link Bus Route,Chittagong Road,Sign Board,Matuail,Rayerbag,Shanir Akhra,Jatrabari,Sayedabad,Gulistan,GPO,Paltan,Press Club,High Court,Matsya Bhaban,Shahbag,Bata Signal,Science Lab,City College,Jigatola,Dhanmondi 15,Star Kabab,Mohammadpur,Bosila,Ghatar Char,,,,,,,,,,,,,,
D Link Bus Route,Fulbaria,Chankhar Pul,Bakshi Bazar,Azimpur,Nilkhet,New Market,City College,Kalabagan,Dhanmondi 32,Dhanmondi 27,Asad Gate,College Gate,Shishu Mela,Shyamoli,Kallyanpur,Darussalam,Technical,Gabtoli,Amin Bazar,Hemayetpur,Savar,Dhamrai,,,,,,,,,,,,,,,
D One Transport Bus Route,Motijheel,Dainik Bangla Moor,Paltan,Press Club,Matsya Bhaban,High Court,Shahbag,Bangla Motor,Kawran Bazar,Farmgate,Asad Gate,College Gate,Shishu Mela,Shyamoli,Kallyanpur,Technical,Gabtoli,Amin Bazar,Nobinagar,Dhamrai,,,,,,,,,,,,,,,,,
Desh Bangla Bus Route,Postogola,Dholairpar,Jatrabari,Sayedabad,Mugda,Malibagh,Rampura Bazar,Rampura Bridge,Merul Badda,Uttar Badda,Bashtola,Notun Bazar,Nadda,Bashundhara,Jamuna Future Park,Kuril Chourasta,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Abdullahpur,Kamarpara,,,,,,,,,,,,,,
Dewan Bus Route,Azimpur,Eden College,Nilkhet,New Market,Science Lab,City College,Science Lab,Katabon,Shahbag,Bangla Motor,Kawran Bazar,Farmgate,Jahangir Gate,Mohakhali,Wireless,Gulshan 1,Badda,Badda Link Road,Uttar Badda,Shahjadpur,Bashtola,Notun Bazar,Nadda,Bashundhara,Jamuna Future Park,Kuril Bishwaroad,,,,,,,,,,,
Dhakar Chaka Bus Route,Police Plaza,Gulshan 1,Gulshan 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhakar Chaka Bus Route,Banani,Gulshan 2,Notun Bazar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhaka Metro Service Bus Route,Mirpur 1,Kallyanpur,Shyamoli,Asad Gate,Shukrabad,Kalabagan,Science Lab,New Market,Nilkhet,Azimpur,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhaka Paribahan Bus Route,Gulistan,Shahbag,Farmgate,Banani,Uttara,Shib Bari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dipon Bus Route,Tajmahal Road,Salimullah Road,Jakir Hossain Road,Star Kabab,Dhanmondi 15,Jigatola,City College,Science Lab,Shahbag,Matsya Bhaban,High Court,Press Club,Paltan,Baitul Mukarram,Gulistan,Motijheel,Arambagh,,,,,,,,,,,,,,,,,,,,
Dip Paribahan Bus Route,Azimpur,City College,Kalabagan,Panthopoth,Kawran Bazar,Nabisco,Gulshan 1,Kuril Bishwaroad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dishari Bus Route,Chiriyakhana,Mirpur 1,Ansar Camp,Technical,Kallyanpur,Shyamoli,Shishu Mela,College Gate,Asad Gate,Khamar Bari,Farmgate,Kawran Bazar,Bangla Motor,Shahbag,Matsya Bhaban,High Court,Press Club,Paltan,GPO,Golap Shah Mazar,Naya Bazar,Babubazar,Keraniganj,,,,,,,,,,,,,,
Elite Bus Route,Agargaon,Taltola,Shewrapara,Kazipara,Mirpur 10,Mirpur 11,Purobi,Pallabi,Kalshi,Kuril Bishwaroad,Airport,Uttara ,Rajlakshmi,House Building,Abdullahpur,,,,,,,,,,,,,,,,,,,,,,
ETC Bus Route,Golap Shah Mazar,Shahbag,Bangla Motor,Farmgate,Agargaon,Shewrapara,Kazipara,Mirpur 10,Pallabi,Mirpur 12,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETC Transport Bus Route,Golap Shah Mazar,GPO,Paltan,Press Club,High Court,Matsya Bhaban,Shahbag,Bangla Motor,Kawran Bazar,Farmgate,Khamar Bari,Agargaon,Taltola,Shewrapara,Kazipara,Mirpur 10,Mirpur 11,Purobi,Pallabi,Mirpur 12,,,,,,,,,,,,,,,,,
Everest Paribahan Bus Route,Rupnagar Abashik,Mirpur 2,Mirpur 1,Khamar Bari,Farmgate,Gulistan,Keraniganj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falgun Art Transport Private Limited Bus Route,Azimpur,Nilkhet,New Market,Science Lab,Bata Signal,Katabon,Shahbag,Matsya Bhaban,Kakrail,Shantinagar,Malibaag Moor,Mouchak,Malibagh Railgate,Rampura Bazar,Rampura Bridge,Merul Badda,Madhya Badda,Badda,Shahjadpur,Notun Bazar,Nadda,Bashundhara,Jamuna Future Park,Kuril Bishwaroad,Khilkhet,Airport,Rajlakshmi,House Building,,,,,,,,,
First Ten Bus Route,Bhashantek,Mirpur 14,Mirpur 10,Mirpur 2,Sony Cinema Hall,Mirpur 1,Ansar Camp,Technical,Gabtoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTCL Bus Route,Mohammadpur,Shankar,Star Kabab,Jigatola,City College,Science Lab,Bata Signal,Shahbag,Matsya Bhaban,High Court,Press Club,Paltan,GPO,Gulistan,Sayedabad,Janapoth Moor,Jatrabari,Shanir Akhra,Rayerbag,Matuail,Sign Board,Chittagong Road,,,,,,,,,,,,,,,
FTCL Bus Route,Mohammadpur,Shankar,Dhanmondi 15,Jigatola,City College,Science Lab,Shahbag,Matsya Bhaban,Paltan,Gulistan,Motijheel,Arambagh,,,,,,,,,,,,,,,,,,,,,,,,,
Gazipur Paribahan Bus Route,Motijheel,Paltan,Kakrail,Shantinagar,Malibaag Moor,Mouchak,Mogbazar,Nabisco,Mohakhali,Chairman Bari,Sainik Club,Kakoli,Banani,Staff Road,MES,Shewra,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Abdullahpur,Tongi,Station Road,Mill Gate,Board Bazar,Gazipur Chowrasta,Shib Bari,,,,,,,
Grameen Bus Route,Mirpur 14,Mirpur 10,Mirpur 2,Sony Cinema Hall,Mirpur 1,Ansar Camp,Technical,Gabtoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grameen Suveccha Bus Route,Fulbaria,Chankhar Pul,Bakshi Bazar,Azimpur,Nilkhet,New Market,City College,Kalabagan,Dhanmondi 32,Dhanmondi 27,Asad Gate,College Gate,Shishu Mela,Shyamoli,Kallyanpur,Darussalam,Technical,Gabtoli,Amin Bazar,Hemayetpur,Savar,Baipail,Zirani Bazar,Nandan Park,Chandra,,,,,,,,,,,,
Green Anabil Bus Route,Chasara,Shibu Market,Jalkuri,Sign Board,Matuail,Rayerbag,Shanir Akhra,Jatrabari,Sayedabad,Mugda,Bashabo,Malibagh Railgate,Hazipara,Rampura Bazar,Rampura Bridge,Merul Badda,Uttar Badda,Shahjadpur,Bashtola,Notun Bazar,Nadda,Bashundhara,Jamuna Future Park,Kuril Bishwaroad,Khilkhet,Airport,Uttara Jashimuddin ,Rajlakshmi,Azampur,House Building,Abdullahpur,Tongi,Station Road,Mill Gate,Board Bazar,Gazipur Bypass,Gazipur Chowrasta
Green Dhaka Bus Route,Motijheel,Gulistan,GPO,Paltan,Kakrail,Shantinagar,Malibaag Moor,Mouchak,Malibagh Railgate,Hazipara,Rampura Bazar,Rampura Bridge,Merul Badda,Uttar Badda,Shahjadpur,Bashtola,Notun Bazar,Nadda,Bashundhara,Jamuna Future Park,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Abdullahpur,,,,,,,,,
Gulshan Chaka Bus Route,Banani,Gulshan 2,Notun Bazar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hazi Transport Bus Route,Mirpur 12,Pallabi,Purobi,Mirpur 10,Kazipara,Shewrapara,Agargaon,Bijoy Sarani,Farmgate,Kawran Bazar,Bangla Motor,Shahbag,Matsya Bhaban,High Court,Press Club,Paltan,GPO,Gulistan,Motijheel,,,,,,,,,,,,,,,,,,
Himachal Bus Route,Sony Cinema Hall,Mirpur 10,Kazipara,Shewrapara,Mohakhali,Gulshan 1,Badda,Rampura Bridge,Rampura Bazar,Khilgaon Khidmah Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himachal Suveccha Bus Route,Metro Hall,Chasara,Shibu Market,Jalkuri,Sign Board,Matuail,Rayerbag,Shanir Akhra,Jatrabari,Janapoth Moor,Gulistan,GPO,Paltan,Press Club,High Court,Matsya Bhaban,Shahbag,Bangla Motor,Kawran Bazar,Farmgate,Bijoy Sarani,Agargaon,Taltola,Shewrapara,Kazipara,Mirpur 10,Mirpur 11,Purobi,Pallabi,Mirpur 12,,,,,,,
Himalay Bus Route,Madanpur,Jatrabari,Bangladesh Bank,Mogbazar,Mohakhali,Tongi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itihash Bus Route,Mirpur 14,Mirpur 10,Mirpur 2,Sony Cinema Hall,Ansar Camp,Technical,Gabtoli,Amin Bazar,Hemayetpur,Savar,Nobinagar,Baipail,Zirani Bazar,Nandan Park,Chandra,,,,,,,,,,,,,,,,,,,,,,
J M Super Paribahan Bus Route,Jatrabari,Sayedabad,Mugda,Bashabo,Khilgaon,Malibagh Railgate,Hazipara,Rampura Bazar,Rampura Bridge,Merul Badda,Uttar Badda,Shahjadpur,Bashtola,Notun Bazar,Nadda,Bashundhara,Jamuna Future Park,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Abdullahpur,Tongi,,,,,,,,,,,
Jabale Noor Paribahan Bus Route,Agargaon,Taltola,Shewrapara,Kazipara,Mirpur 10,Mirpur 11,Purobi,Pallabi,Kalshi,Kuril Bishwaroad,Airport,Uttara ,Rajlakshmi,House Building,Abdullahpur,,,,,,,,,,,,,,,,,,,,,,
Jabale Noor Paribahan Bus Route,Gabtoli,Mirpur 1,Mirpur 10,Kalshi,Kuril,Notun Bazar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janjabil Bus Route,Gabtoli,Beribadh Tin Rastar Moor,Rayer Bazar,Sikder Medical College,Hazaribag,Kamrangirchar,Showari Ghat,Babubazar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamal Plus Paribahan Bus Route,Chittagong Road,Sign Board,Matuail,Rayerbag,Shanir Akhra,Jatrabari,Sayedabad,Gulistan,Chankhar Pul,Bakshi Bazar,Azimpur,Nilkhet,New Market,Science Lab,City College,Jigatola,Dhanmondi 15,Star Kabab,Shankar,Mohammadpur,Ghatar Char,,,,,,,,,,,,,,,,
kanak Bus Route,Mirpur 1,Sony Cinema Hall,Mirpur 2,Mirpur 10,Mirpur 11,Purobi,Kalshi,ECB Square,MES,Shewra,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Abdullahpur,,,,,,,,,,,,,,,,,,,
Khajababa Bus Route,Jatrabari,Sayedabad,Gulistan,GPO,Paltan,Press Club,High Court,Matsya Bhaban,Shahbag,Bangla Motor,Kawran Bazar,Farmgate,Khamar Bari,Agargaon,Taltola,Shewrapara,Kazipara,Mirpur 10,Mirpur 11,Purobi,Pallabi,Mirpur 12,,,,,,,,,,,,,,,
Kironmala Paribahan Bus Route,Chiriyakhana,Mirpur 1,Sony Cinema Hall,Rupnagar,Birulia,Ashulia Bazar,Zirabo,Narshingpur,Surabari,Jarun,Konabari,,,,,,,,,,,,,,,,,,,,,,,,,,
Labbayek Bus Route,Savar,Hemayetpur,Amin Bazar,Gabtoli,Technical,Kallyanpur,Shyamoli,Shishu Mela,College Gate,Asad Gate,Khamar Bari,Farmgate,Kawran Bazar,Bangla Motor,Mogbazar,Mouchak,Malibaag Moor,Rajarbag,Khilgaon flyover,Bashabo,Mugda,Maniknagar,Golapbagh,Sayedabad,Janapoth Moor,Jatrabari,Kajla,Shanir Akhra,Rayerbag,Matuail,Sign Board,,,,,,
Lal Sabuj AC Bus Route,Nandan Park,Zirani Bazar,Baipail,Nobinagar,Savar,Hemayetpur,Amin Bazar,Gabtoli,Technical,Kallyanpur,Shyamoli,Shishu Mela,College Gate,Asad Gate,Khamar Bari,Farmgate,Kawran Bazar,Bangla Motor,Shahbag,High Court,Press Club,Paltan,GPO,Gulistan,Motijheel,,,,,,,,,,,,
Lams Paribahan Bus Route,Mirpur 12,Pallabi,Purobi,Mirpur 11,Mirpur 1,Kazipara,Shewrapara,Taltola,Agargaon,Bijoy Sarani,Farmgate,Kawran Bazar,Bangla Motor,Shahbag,Matsya Bhaban,High Court,Press Club,Paltan,Dainik Bangla Moor,Motijheel,,,,,,,,,,,,,,,,,
Malancha Bus Route,Mohammadpur,Shankar,Star Kabab,Dhanmondi 15,Jigatola,City College,Science Lab,Bata Signal,Shahbag,Matsya Bhaban,High Court,Press Club,Paltan,GPO,Gulistan,Dayagonj,Dhupkhola,,,,,,,,,,,,,,,,,,,,
Manjil Express Bus Route,Chittagong Road,Sign Board,Matuail,Rayerbag,Shanir Akhra,Jatrabari,Sayedabad,Gulistan,GPO,Paltan,Kakrail,Malibaag Moor,Mouchak,Mogbazar,,,,,,,,,,,,,,,,,,,,,,,
Meghla Transport Bus Route,Kalabagan,Science Lab,Katabon,Bata Signal,Shahbag,Matsya Bhaban,High Court,Press Club,Paltan,Jatrabari,Gulistan,Sayedabad,Jatrabari,Shanir Akhra,Sign Board,Kanchpur,Bhulta,,,,,,,,,,,,,,,,,,,,
Meshkat Bus Route,Mohammadpur,Asad Gate,Khamar Bari,Farmgate,Bangla Motor,Shahbag,Matsya Bhaban,Paltan,Dainik Bangla Moor,Motijheel,Ittefaq Moor,Sayedabad,Jatrabari,Shanir Akhra,Rayerbag,Matuail,Sign Board,Chittagong Road,,,,,,,,,,,,,,,,,,,
Midline Bus Route,Mohammadpur,Shankar,Star Kabab,Dhanmondi 15,Jigatola,City College,Science Lab,Bata Signal,Shahbag,Matsya Bhaban,High Court,Press Club,Paltan,Gulistan,Motijheel,Arambagh,Kamalapur,Bashabo,Khilgaon,,,,,,,,,,,,,,,,,,
Mirpur Metro Services Bus Route,Azimpur,Nilkhet,New Market,Science Lab,City College,Kalabagan,Dhanmondi 32,Dhanmondi 27,Asad Gate,College Gate,Shishu Mela,Shyamoli,Kallyanpur,Darussalam,Technical,Bangla College,Tolarbag,Ansar Camp,Mirpur 1,,,,,,,,,,,,,,,,,,
Mirpur Link Bus Route,ECB Square,Purobi,Mirpur 11,Mirpur 10,Kazipara,Shewrapara,Agargaon,Khamar Bari,Dhanmondi 27,Dhanmondi 32,City College,Nilkhet,New Market,Azimpur,,,,,,,,,,,,,,,,,,,,,,,
Mirpur Mission Bus Route,Chittagong Road,Mirpur 1,Khamar Bari,Farmgate,Press Club,Motijheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirpur Transport Service Bus Route,Gulistan,Golap Shah Mazar,GPO,Paltan,Press Club,High Court,Matsya Bhaban,Shahbag,Bangla Motor,Kawran Bazar,Farmgate,Khamar Bari,Agargaon,Taltola,Shewrapara,Kazipara,Mirpur 10,Mirpur 11,Purobi,Pallabi,Mirpur 12,,,,,,,,,,,,,,,,
Mirpur United Service Bus Route,Sadarghat Victoria Park ,Ray Saheb Bazar,Naya Bazar,Golap Shah Mazar,GPO,Paltan,Press Club,High Court,Matsya Bhaban,Shahbag,Bangla Motor,Kawran Bazar,Farmgate,Khamar Bari,Agargaon,Taltola,Shewrapara,Kazipara,Mirpur 10,Mirpur 11,Purobi,Pallabi,Mirpur 12,,,,,,,,,,,,,,
MM Lovely Bus Route,Savar,Hemayetpur,Amin Bazar,Gabtoli,Technical,Kallyanpur,Shyamoli,Shishu Mela,College Gate,Asad Gate,Khamar Bari,Farmgate,Kawran Bazar,Bangla Motor,Mogbazar,Mouchak,Malibaag Moor,Mugda,Rajarbag,Khilgaon flyover,Bashabo,Mugda,Maniknagar,Golapbagh,Sayedabad,Janapoth Moor,Jatrabari,Kajla,Shanir Akhra,Rayerbag,Matuail,Sign Board,,,,,
Modhumita Bus Route,Chiriyakhana,Sony Cinema Hall,Mirpur 2,Mirpur 1,Ansar Camp,Technical,Kallyanpur,Shyamoli,Shishu Mela,Agargaon,Bijoy Sarani,Jahangir Gate,Mohakhali,Wireless,Abdullahpur,Badda Link Road,Merul Badda,Rampura Bridge,Banasree,,,,,,,,,,,,,,,,,,
Mohona Bus Route,Mirpur 14,Mirpur 10,Mirpur 2,Sony Cinema Hall,Mirpur 1,Mazar Road,Konabari,Rupnagar,Beribadh,Birulia,Ashulia Bazar,Zirabo,Fantasy Kingdom,,,,,,,,,,,,,,,,,,,,,,,,
Moitri Bus Route,Mohammadpur,Shankar,Star Kabab,Dhanmondi 15,Jigatola,City College,Science Lab,Bata Signal,Shahbag,Matsya Bhaban,High Court,Press Club,Paltan,GPO,Gulistan,Motijheel,Arambagh,,,,,,,,,,,,,,,,,,,,
Moumita Bus Route,Chasara,Shibu Market,Jalkuri,Sign Board,Matuail,Rayerbag,Shanir Akhra,Jatrabari,Sayedabad,Gulistan,Chankhar Pul,Bakshi Bazar,Azimpur,Nilkhet,New Market,City College,Kalabagan,Dhanmondi 32,Dhanmondi 27,Asad Gate,College Gate,Shishu Mela,Shyamoli,Kallyanpur,Darussalam,Technical,Gabtoli,Amin Bazar,Hemayetpur,Savar,Baipail,Zirani Bazar,Nandan Park,Chandra,,,
MTCL-2 Bus Route,Mohammadpur,Asad Gate,Dhanmondi 27,Dhanmondi 32,Shukrabad,Kalabagan,City College,Science Lab,Bata Signal,Shahbag,Matsya Bhaban,High Court,Press Club,Paltan,GPO,Gulistan,Motijheel,Arambagh,Fantasy Kingdom,,,,,,,,,,,,,,,,,,
