Bus Name (English),Station 1,Station 2,Station 3,Station 4,Station 5,Station 6,Station 7,Station 8,Station 9,Station 10,Station 11,Station 12,Station 13,Station 14,Station 15,Station 16,Station 17,Station 18,Station 19,Station 20,Station 21,Station 22,Station 23,Station 24,Station 25,Station 26,Station 27,Station 28,Station 29,Station 30,Station 31,Station 32,Station 33,Station 34,Station 35,Station 36,Station 37
Skyline Bus Route,Sadarghat Victoria Park ,Ray Saheb Bazar,Naya Bazar,Golap Shah Mazar,GPO,Paltan,Kakrail,Shantinagar,Malibaag Moor,Mouchak,Nabisco,Mohakhali,Chairman Bari,Sainik Club,Banani,Kakoli,Staff Road,MES,Shewra,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Abdullahpur,Tongi,Station Road,Mill Gate,Board Bazar,Gazipur Chowrasta,,,,,
Somota Paribahan Bus Route,Chittagong Road,Sign Board,Matuail,Rayerbag,Shanir Akhra,Jatrabari,Sayedabad,Gulistan,Chankhar Pul,Bakshi Bazar,Dhakeshwari,Azimpur,Nilkhet,New Market,City College,Kalabagan,Dhanmondi 32,Dhanmondi 27,Asad Gate,College Gate,Shishu Mela,Shyamoli,Kallyanpur,Darussalam,Technical,Ansar Camp,Mirpur 1,Abdullahpur,,,,,,,,,
Somoy Bus Route,Sign Board,Matuail,Rayerbag,Shanir Akhra,Jatrabari,Sayedabad,Janapoth Moor,Gulistan,GPO,Paltan,Press Club,High Court,Matsya Bhaban,Shahbag,Bangla Motor,Kawran Bazar,Farmgate,Bijoy Sarani,Agargaon,IDB,Taltola,Shewrapara,Kazipara,Mirpur 10,Mirpur 11,Pallabi,Purobi,Mirpur 12,,,,,,,,,
Somoy Niyantran Bus Route,Mirpur 12,Pallabi,Purobi,Mirpur 11,Mirpur 10,Kazipara,Shewrapara,Taltola,Agargaon,Bijoy Sarani,Farmgate,Kawran Bazar,Bangla Motor,Shahbag,Matsya Bhaban,High Court,Press Club,Paltan,GPO,Golap Shah Mazar,Naya Bazar,Babubazar,Keraniganj,,,,,,,,,,,,,,
Super Bus Route,Gulistan,Shahbag,Farmgate,Shyamoli,Gabtoli,Savar,Nobinagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supravat Bus Route,Sadarghat Victoria Park,Sadarghat Victoria Park ,Ray Saheb Bazar,Golap Shah Mazar,GPO,Paltan,Kakrail,Shantinagar,Malibaag Moor,Mouchak,Malibagh Railgate,Hazipara,Rampura Bazar,Rampura Bridge,Merul Badda,Badda,Shahjadpur,Bashtola,Notun Bazar,Nadda,Bashundhara,Jamuna Future Park,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Abdullahpur,Tongi,,,,,,
Swajan Paribahan Bus Route,Savar,Hemayetpur,Amin Bazar,Gabtoli,Technical,Kallyanpur,Shyamoli,Shishu Mela,College Gate,Asad Gate,Khamar Bari,Farmgate,Kawran Bazar,Bangla Motor,Shahbag,High Court,Press Club,Paltan,GPO,Golap Shah Mazar,Naya Bazar,Ray Saheb Bazar,Sadarghat Victoria Park ,,,,,,,,,,,,,,
Talukdar Bus Route,Chiriyakhana,Mirpur 1,Ansar Camp,Technical,Kallyanpur,Shyamoli,Shishu Mela,College Gate,Asad Gate,Khamar Bari,Farmgate,Kawran Bazar,Bangla Motor,Mogbazar,Mouchak,Malibaag Moor,Mugda,Rajarbag,Khilgaon flyover,Bashabo,Mugda,Maniknagar,Golapbagh,Sayedabad,Janapoth Moor,Jatrabari,Kajla,Shanir Akhra,Rayerbag,Matuail,Sign Board,Sanarpar,Chittagong Road,,,,
Tanjil Paribahan Bus Route,Chiriyakhana,Mirpur 1,Ansar Camp,Technical,Kallyanpur,Shyamoli,Shishu Mela,College Gate,Asad Gate,Khamar Bari,Farmgate,Kawran Bazar,Bangla Motor,Shahbag,High Court,Press Club,Paltan,GPO,Golap Shah Mazar,Naya Bazar,Ray Saheb Bazar,Sadarghat Victoria Park ,,,,,,,,,,,,,,,
Taranga Plus Bus Route,Mohammadpur,Shankar,Star Kabab,Dhanmondi 15,Jigatola,City College,Science Lab,Bata Signal,Shahbag,Matsya Bhaban,Kakrail,Shantinagar,Malibaag Moor,Mouchak,Malibagh Railgate,Hazipara,Rampura Bazar,Rampura Bridge,Banasree,South Banasree,,,,,,,,,,,,,,,,,
Tetulia Bus Route,Mohammadpur Shia Mosque,Japan Garden City,Ring Road,Adabor,Shyamoli,Shishu Mela,Agargaon,Taltola,Shewrapara,Kazipara,Mirpur 10,Mirpur 11,Purobi,Pallabi,Kalshi,ECB Square,MES,Shewra,Kuril Bishwaroad,Airport,Uttara ,Rajlakshmi,House Building,Abdullahpur,,,,,,,,,,,,,
Thikana Bus Route,Sign Board,Matuail,Rayerbag,Shanir Akhra,Jatrabari,Sayedabad,Gulistan,Chankhar Pul,Bakshi Bazar,Dhakeshwari,Azimpur,Nilkhet,New Market,City College,Kalabagan,Dhanmondi 32,Dhanmondi 27,Asad Gate,College Gate,Shishu Mela,Shyamoli,Kallyanpur,Darussalam,Technical,Gabtoli,Amin Bazar,Hemayetpur,Savar,Baipail,Zirani Bazar,Nandan Park,Chandra,,,,,
Thikana Express Bus Route,Shonbari Sreenagar,Nimtola,Kuchimura,Rajendrapur,Hasnabad,Postogola,Jurain,Dholairpar,Jatrabari,Sayedabad,Gulistan,Chankhar Pul,Bakshi Bazar,Azimpur,Nilkhet,New Market,City College,Kalabagan,Dhanmondi 32,Dhanmondi 27,Asad Gate,College Gate,Shishu Mela,Shyamoli,Kallyanpur,Darussalam,Technical,Gabtoli,Amin Bazar,Hemayetpur,Savar,Baipail,Zirani Bazar,Nandan Park,Chandra,,
Titas Bus Route,Chiriyakhana,Mirpur 1,Gabtoli,Savar,Nobinagar,Chandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transilva Bus Route,Mirpur 1,Ansar Camp,Technical,Kallyanpur,Shyamoli,Shishu Mela,College Gate,Asad Gate,Dhanmondi 27,Dhanmondi 32,Kalabagan,Science Lab,Bata Signal,Shahbag,Matsya Bhaban,High Court,Press Club,Paltan,GPO,Gulistan,Motijheel,Sayedabad,Janapoth Moor,Jatrabari,,,,,,,,,,,,,
Trust Transport Services Bus Route,Mirpur 10,Mirpur 13,Mirpur 14,Kochukhet,Sainik Club,Banani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trust Transport Services Bus Route,Mirpur 10,Mirpur 13,Mirpur 14,Kochukhet,Workshop,Saudi Colony,Jahangir Gate,Farmgate,Kawran Bazar,Bangla Motor,Shahbag,,,,,,,,,,,,,,,,,,,,,,,,,,
Trust Transport Services Bus Route,Mirpur DOHS,Kalshi,ECB Square,Garrison Cantonment,Adamjee School,Workshop,Saudi Colony,Jahangir Gate,Farmgate,Kawran Bazar,Bangla Motor,Shahbag,High Court,Press Club,Paltan,Dainik Bangla Moor,Motijheel,,,,,,,,,,,,,,,,,,,,
Trust Transport Services AC Bus Route,Mirpur DOHS,Kalshi,ECB Square,Garrison Cantonment,Adamjee School,Workshop,Saudi Colony,Jahangir Gate,Farmgate,Kawran Bazar,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turag Bus Route,Jatrabari,Sayedabad,Mugda,Bashabo,Khilgaon,Malibaag Moor,Rampura Bazar,Rampura Bridge,Merul Badda,Badda,Uttar Badda,Bashtola,Notun Bazar,Nadda,Bashundhara,Jamuna Future Park,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Abdullahpur,Tongi,,,,,,,,,,,,
Victor Classic Bus Route,Sadarghat Victoria Park ,Ray Saheb Bazar,Naya Bazar,Golap Shah Mazar,GPO,Paltan,Kakrail,Shantinagar,Malibaag Moor,Mouchak,Malibagh Railgate,Hazipara,Rampura Bazar,Rampura Bridge,Merul Badda,Badda,Shahjadpur,Bashtola,Notun Bazar,Nadda,Bashundhara,Jamuna Future Park,Kuril Bishwaroad,,,,,,,,,,,,,,
Victor Paribahan Bus Route,Sadarghat Victoria Park ,Ray Saheb Bazar,Naya Bazar,Golap Shah Mazar,GPO,Paltan,Kakrail,Shantinagar,Malibaag Moor,Mouchak,Malibagh Railgate,Hazipara,Rampura Bazar,Rampura Bridge,Merul Badda,Badda,Shahjadpur,Bashtola,Notun Bazar,Nadda,Bashundhara,Jamuna Future Park,Kuril Bishwaroad,,,,,,,,,,,,,,
VIP 27 Bus Route,Azimpur,Nilkhet,New Market,City College,Kalabagan,Banani,Kakoli,MES,Shewra,Kuril Bishwaroad,Khilkhet,Airport,Uttara ,Rajlakshmi,Azampur,House Building,Abdullahpur,Tongi,Station Road,Mill Gate,Board Bazar,Gazipur Chowrasta,,,,,,,,,,,,,,,
Welcome Bus Route,Nandan Park,Zirani Bazar,Baipail,Nobinagar,Savar,Hemayetpur,Amin Bazar,Gabtoli,Technical,Kallyanpur,Shyamoli,Shishu Mela,College Gate,Asad Gate,Khamar Bari,Farmgate,Kawran Bazar,Bangla Motor,Shahbag,High Court,Press Club,Paltan,GPO,Gulistan,Motijheel,,,,,,,,,,,,
Winner Bus Route,Azimpur,Eden College,Nilkhet,New Market,Science Lab,City College,Kalabagan,Panthopoth,Kawran Bazar,Bot tola,Nabisco,Mohakhali,Wireless,Gulshan 1,Badda,Badda Link Road,Uttar Badda,Shahjadpur,Bashtola,Notun Bazar,Nadda,Bashundhara,Jamuna Future Park,Kuril Bishwaroad,,,,,,,,,,,,,
13 No. Bus Route Dhaka,Mohammadpur,Shankar,Star Kabab,Dhanmondi 15,Jigatola,City College,Science Lab,New Market,Nilkhet,Azimpur,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 No. Alike Bus Route Dhaka,Balughat,Signal,CMH,Garrison Cantonment,Adamjee School,Workshop,Jahangir Gate,Bijoy Sarani,Farmgate,Bangla Motor,Shahbag,Paltan,Gulistan,Motijheel,,,,,,,,,,,,,,,,,,,,,,,
6 No. Bus Route Dhaka,Kamalapur,Motijheel,Gulistan,GPO,Paltan,Kakrail,Shantinagar,Malibaag Moor,Mouchak,Mogbazar,Kawran Bazar,Farmgate,Jahangir Gate,Bijoy Sarani,Mohakhali,Gulshan 1,Gulshan 2,Notun Bazar,,,,,,,,,,,,,,,,,,,
6 No. Motijheel Banani Transport Bus Route Dhaka,Kamalapur,Motijheel,Gulistan,GPO,Paltan,Kakrail,Shantinagar,Malibaag Moor,Mouchak,Mogbazar,Kawran Bazar,Farmgate,Jahangir Gate,Bijoy Sarani,Mohakhali,Gulshan 1,Gulshan 2,Notun Bazar,,,,,,,,,,,,,,,,,,,
7 No. Bus Route Dhaka,Gabtoli,Technical,Kallyanpur,Shyamoli,Shishu Mela,College Gate,Asad Gate,Dhanmondi 27,Dhanmondi 32,Kalabagan,Science Lab,Katabon,Shahbag,High Court,Press Club,Paltan,GPO,Golap Shah Mazar,Gulistan,Naya Bazar,Ray Saheb Bazar,Sadarghat Victoria Park ,,,,,,,,,,,,,,,
8 No. Bus Route Dhaka,Jatrabari,Janapoth Moor,Sayedabad,Motijheel,Dainik Bangla Moor,Paltan,Press Club,Matsya Bhaban,High Court,Shahbag,Bangla Motor,Kawran Bazar,Farmgate,Khamar Bari,Asad Gate,College Gate,Shishu Mela,Shyamoli,Kallyanpur,Technical,Gabtoli,,,,,,,,,,,,,,,,
9 No. Bus Route Dhaka,College Gate,Shishu Mela,Shyamoli,Kallyanpur,Darussalam,Technical,Bangla College,Tolarbag,Ansar Camp,Mirpur 1,Sony Cinema Hall,Mirpur 2,Proshika Moor,Pallabi,Mirpur 12,,,,,,,,,,,,,,,,,,,,,,
Deepan Bus Route,Tajmahal Road,Shankar,Dhanmondi 15,Jigatola,City College,Science Lab,Shahbag,Matsya Bhaban,Paltan,Gulistan,Motijheel,Arambagh,,,,,,,,,,,,,,,,,,,,,,,,,
BRTC Bus Route,Motijheel,Gulistan,GPO,Paltan,Press Club,High Court,Matsya Bhaban,Shahbag,Bangla Motor,Kawran Bazar,Farmgate,Khamar Bari,Asad Gate,College Gate,Shishu Mela,Shyamoli,Kallyanpur,Technical,Gabtoli,Amin Bazar,Hemayetpur,Baipail,Zirani Bazar,Chandra,,,,,,,,,,,,,
