From Point,To Point,Distance (km),Fare (BDT),,,,,,,,,,,,,,,
Adabor,Abdullahpur,21.35,52,,,,,,,,,,,,,,,
Adabor,Agargaon,2.5,10,,,,,,,,,,,,,,,
Adabor,Airport,17.5,43,,,,,,,,,,,,,,,
Adabor,Ansar Camp,3.1,10,,,,,,,,,,,,,,,
Adabor,Asad Gate,2.2,10,,,,,,,,,,,,,,,
Adabor,Azampur,19.6,48,,,,,,,,,,,,,,,
Adabor,Badda Link Road,9.5,23,,,,,,,,,,,,,,,
Adabor,Banani,9.7,24,,,,,,,,,,,,,,,
Adabor,Banasree,14.2,35,,,,,,,,,,,,,,,
Adabor,Bata Signal,5.4,13,,,,,,,,,,,,,,,
Adabor,Bijoy Sarani,4.4,11,,,,,,,,,,,,,,,
Adabor,Chairman Bari,9,22,,,,,,,,,,,,,,,
Adabor,College Gate,1.4,10,,,,,,,,,,,,,,,
Adabor,Dayagonj,12,29,,,,,,,,,,,,,,,
Adabor,ECB Square,10.4,25,,,,,,,,,,,,,,,
Adabor,Fakirapul,8.9,22,,,,,,,,,,,,,,,
Adabor,Gulshan 1,8.5,21,,,,,,,,,,,,,,,
Adabor,House Building,20.7,51,,,,,,,,,,,,,,,
Adabor,Jahangir Gate,5.6,14,,,,,,,,,,,,,,,
Adabor,Japan Garden City,1.3,10,,,,,,,,,,,,,,,
Adabor,Kakoli,9.6,24,,,,,,,,,,,,,,,
Adabor,Kakrail,7.5,18,,,,,,,,,,,,,,,
Adabor,Kalabagan,3.8,10,,,,,,,,,,,,,,,
Adabor,Kalshi,8.7,21,,,,,,,,,,,,,,,
Adabor,Katabon,5.65,14,,,,,,,,,,,,,,,
Adabor,Kazipara,4.8,12,,,,,,,,,,,,,,,
Adabor,Khilkhet,14.6,36,,,,,,,,,,,,,,,
Adabor,Kuril Bishwaroad,13.3,33,,,,,,,,,,,,,,,
Adabor,MES,12,29,,,,,,,,,,,,,,,
Adabor,Madhya Badda,9.9,24,,,,,,,,,,,,,,,
Adabor,Merul Badda,10.6,26,,,,,,,,,,,,,,,
Adabor,Mirpur 1,4,10,,,,,,,,,,,,,,,
Adabor,Mirpur 10,5.8,14,,,,,,,,,,,,,,,
Adabor,Mirpur 11,6.8,17,,,,,,,,,,,,,,,
Adabor,Mirpur 2,5.2,13,,,,,,,,,,,,,,,
Adabor,Mohakhali,6.5,16,,,,,,,,,,,,,,,
Adabor,Mohammadpur,1.9,10,,,,,,,,,,,,,,,
Adabor,Mohammadpur Shia Mosque,1.4,10,,,,,,,,,,,,,,,
Adabor,Motijheel,10,25,,,,,,,,,,,,,,,
Adabor,Old Airport,5.2,13,,,,,,,,,,,,,,,
Adabor,Pallabi,7.6,19,,,,,,,,,,,,,,,
Adabor,Postogola,14,34,,,,,,,,,,,,,,,
Adabor,Purobi,7.2,18,,,,,,,,,,,,,,,
Adabor,Rajlakshmi,19.2,47,,,,,,,,,,,,,,,
Adabor,Rampura Bridge,11,27,,,,,,,,,,,,,,,
Adabor,Sainik Club,9.2,23,,,,,,,,,,,,,,,
Adabor,Science Lab,4.8,12,,,,,,,,,,,,,,,
Adabor,Shahbag,6.2,15,,,,,,,,,,,,,,,
Adabor,Shewra,13,32,,,,,,,,,,,,,,,
Adabor,Shewrapara,4.2,10,,,,,,,,,,,,,,,
Adabor,Shishu Mela,0.6,10,,,,,,,,,,,,,,,
Adabor,Shyamoli,0.4,10,,,,,,,,,,,,,,,
Adabor,Ring Road,0.6,10,,,,,,,,,,,,,,,
Adabor,Sony Cinema Hall,4.2,10,,,,,,,,,,,,,,,
Adabor,Staff Road,11.5,28,,,,,,,,,,,,,,,
Adabor,Taltola,3.2,10,,,,,,,,,,,,,,,
Adabor,Technical,2,10,,,,,,,,,,,,,,,
Adabor,Uttara Jashimuddin,18.8,46,,,,,,,,,,,,,,,
Adabor,Wireless,7.5,18,,,,,,,,,,,,,,,
Adabor,Zia Uddyan,3.7,10,,,,,,,,,,,,,,,
Adamjee School,Balughat,5.4,13,,,,,,,,,,,,,,,
Adamjee School,Bangla Motor,5.5,13,,,,,,,,,,,,,,,
Adamjee School,Bijoy Sarani,3.4,10,,,,,,,,,,,,,,,
Adamjee School,CMH,3,10,,,,,,,,,,,,,,,
Adamjee School,Dainik Bangla Moor,5.5,13,,,,,,,,,,,,,,,
Adamjee School,ECB Square,3.5,10,,,,,,,,,,,,,,,
Adamjee School,Farmgate,4,10,,,,,,,,,,,,,,,
Adamjee School,Garrison Cantonment,0.5,10,,,,,,,,,,,,,,,
Adamjee School,Gulistan,8.5,21,,,,,,,,,,,,,,,
Adamjee School,High Court,7.5,18,,,,,,,,,,,,,,,
Adamjee School,Jahangir Gate,2.2,10,,,,,,,,,,,,,,,
Adamjee School,Kalshi,5.3,13,,,,,,,,,,,,,,,
Adamjee School,Kawran Bazar,5,12,,,,,,,,,,,,,,,
Adamjee School,Motijheel,10.5,26,,,,,,,,,,,,,,,
Adamjee School,Paltan,8,20,,,,,,,,,,,,,,,
Adamjee School,Press Club,7.7,19,,,,,,,,,,,,,,,
Adamjee School,Saudi Colony,1.7,10,,,,,,,,,,,,,,,
Adamjee School,Shahbag,6.5,16,,,,,,,,,,,,,,,
Adamjee School,Signal,3.1,10,,,,,,,,,,,,,,,
Adamjee School,Workshop,0.8,10,,,,,,,,,,,,,,,
Agargaon,Abdullahpur,16.7,41,,,,,,,,,,,,,,,
Agargaon,Airport,13.2,32,,,,,,,,,,,,,,,
Agargaon,Amin Bazar,5.5,13,,,,,,,,,,,,,,,
Agargaon,Ashulia,24.3,60,,,,,,,,,,,,,,,
Agargaon,Azimpur,9.3,23,,,,,,,,,,,,,,,
Agargaon,Banani,5.7,14,,,,,,,,,,,,,,,
Agargaon,Bangla Motor,4.5,11,,,,,,,,,,,,,,,
Agargaon,College Gate,1.8,10,,,,,,,,,,,,,,,
Agargaon,Dhakeshwari Mandir,8.1,20,,,,,,,,,,,,,,,
Agargaon,Dhanmondi,3.6,10,,,,,,,,,,,,,,,
Agargaon,Dhour,21.1,52,,,,,,,,,,,,,,,
Agargaon,ECB Square,8.3,20,,,,,,,,,,,,,,,
Agargaon,Farmgate,2.9,10,,,,,,,,,,,,,,,
Agargaon,Gabtoli,4,10,,,,,,,,,,,,,,,
Agargaon,Ikuria,16.5,40,,,,,,,,,,,,,,,
