From Point,To Point,Distance (km),Fare (BDT),,,,,,,,,,,,,,,
Farmgate,Manik Mia Avenue,1.8,10,,,,,,,,,,,,,,,
Farmgate,Maowa,43.7,107,,,,,,,,,,,,,,,
Farmgate,Matsya Bhaban,3.1,10,,,,,,,,,,,,,,,
Farmgate,Mayor Mohammad Hanif Flyover,7,17,,,,,,,,,,,,,,,
Farmgate,Mogbazar,2.6,10,,,,,,,,,,,,,,,
Farmgate,Mohakhali,2.9,10,,,,,,,,,,,,,,,
Farmgate,Mohammadpur,3,10,,,,,,,,,,,,,,,
Farmgate,Mohammadpur Bosila Road,3.58,10,,,,,,,,,,,,,,,
Farmgate,Mohammadpur Bus Stand,3.16,10,,,,,,,,,,,,,,,
Farmgate,Motijheel,7,17,,,,,,,,,,,,,,,
Farmgate,Motijheel Hirajhil,6.18,15,,,,,,,,,,,,,,,
Farmgate,Notre Dame College,5.6,14,,,,,,,,,,,,,,,
Farmgate,Mouchak,3.7,10,,,,,,,,,,,,,,,
Farmgate,Nabinagar,29.7,73,,,,,,,,,,,,,,,
Farmgate,Nadda,9.7,24,,,,,,,,,,,,,,,
Farmgate,Narayanganj,26,64,,,,,,,,,,,,,,,
Farmgate,Narayanganj Link Road,15.1,37,,,,,,,,,,,,,,,
Farmgate,Naya Bazar,6.7,16,,,,,,,,,,,,,,,
Farmgate,New Airport,13.3,33,,,,,,,,,,,,,,,
Farmgate,New Market,4.5,11,,,,,,,,,,,,,,,
Farmgate,Nilkhet,5,12,,,,,,,,,,,,,,,
Farmgate,Notre Dame College,8,20,,,,,,,,,,,,,,,
Farmgate,Notun Bazar,7,17,,,,,,,,,,,,,,,
Farmgate,Paltan,4.1,10,,,,,,,,,,,,,,,
Farmgate,Fulbaria,5.2,13,,,,,,,,,,,,,,,
Farmgate,Postogola,12.1,30,,,,,,,,,,,,,,,
Farmgate,Press Club,3.7,10,,,,,,,,,,,,,,,
Farmgate,Rajlakshmi,14.8,36,,,,,,,,,,,,,,,
Farmgate,Ray Saheb Bazar,6.7,16,,,,,,,,,,,,,,,
Farmgate,Sadarghat Victoria Park,7.9,19,,,,,,,,,,,,,,,
Farmgate,Savar,21,51,,,,,,,,,,,,,,,
Farmgate,Sayedabad,7.6,19,,,,,,,,,,,,,,,
Farmgate,Science Lab,3.9,10,,,,,,,,,,,,,,,
Farmgate,Shahbag,2.1,10,,,,,,,,,,,,,,,
Farmgate,Shanir Akhra,9.8,24,,,,,,,,,,,,,,,
Farmgate,Shapla Chottor,6.2,15,,,,,,,,,,,,,,,
Farmgate,Sign Board,13.4,33,,,,,,,,,,,,,,,
Farmgate,Stadium,4.8,12,,,,,,,,,,,,,,,
Farmgate,T&T,5.7,14,,,,,,,,,,,,,,,
Farmgate,Tati Bazar,6.7,16,,,,,,,,,,,,,,,
Farmgate,Tikatuli,6.4,16,,,,,,,,,,,,,,,
Farmgate,Titumir College,3.9,10,,,,,,,,,,,,,,,
Farmgate,Tongi,21.5,53,,,,,,,,,,,,,,,
Farmgate,Town Hall,2.71,10,,,,,,,,,,,,,,,
Farmgate,Uttar Badda,7,17,,,,,,,,,,,,,,,
Farmgate,Uttara Jashimuddin,15,37,,,,,,,,,,,,,,,
Farmgate,Washpur,4.69,11,,,,,,,,,,,,,,,
Gabtoli,Abdullahpur,18.6,46,,,,,,,,,,,,,,,
Gabtoli,Airport,15.1,37,,,,,,,,,,,,,,,
Gabtoli,Amin Bazar,1.5,10,,,,,,,,,,,,,,,
Gabtoli,Demra Staff Quarter,29.2,72,,,,,,,,,,,,,,,
Gabtoli,Asad Gate,4.8,12,,,,,,,,,,,,,,,
Gabtoli,Azimpur,8.4,21,,,,,,,,,,,,,,,
Gabtoli,Babubazar Bridge,13.4,33,,,,,,,,,,,,,,,
Gabtoli,Bakshi Bazar,9.8,24,,,,,,,,,,,,,,,
Gabtoli,Banasree,21.2,52,,,,,,,,,,,,,,,
Gabtoli,Bangla Motor,7.7,19,,,,,,,,,,,,,,,
Gabtoli,Bangladesh Bank,12.1,30,,,,,,,,,,,,,,,
Gabtoli,Baniajuri,58.1,142,,,,,,,,,,,,,,,
Gabtoli,Bashabo,12.8,31,,,,,,,,,,,,,,,
Gabtoli,Bejgaon Chowrasta,39.3,96,,,,,,,,,,,,,,,
Gabtoli,Borongail,64.1,157,,,,,,,,,,,,,,,
Gabtoli,Chankhar Pul,10.5,26,,,,,,,,,,,,,,,
Gabtoli,College Gate,3.7,10,,,,,,,,,,,,,,,
Gabtoli,Dhamrai,30,74,,,,,,,,,,,,,,,
Gabtoli,Dhour,23.7,58,,,,,,,,,,,,,,,
Gabtoli,ECB Square,12.9,32,,,,,,,,,,,,,,,
Gabtoli,EPZ,25.9,63,,,,,,,,,,,,,,,
Gabtoli,Farmgate,6.4,16,,,,,,,,,,,,,,,
Gabtoli,GPO,12.6,31,,,,,,,,,,,,,,,
Gabtoli,Golap Shah Mazar,11.4,28,,,,,,,,,,,,,,,
Gabtoli,Gulistan,11.2,27,,,,,,,,,,,,,,,
Gabtoli,Gulshan 1,14.9,37,,,,,,,,,,,,,,,
Gabtoli,Hemayetpur,7.5,18,,,,,,,,,,,,,,,
Gabtoli,Islampur,25.6,63,,,,,,,,,,,,,,,
Gabtoli,Janapath Moor,15.8,39,,,,,,,,,,,,,,,
Gabtoli,Jatrabari,16.4,40,,,,,,,,,,,,,,,
Gabtoli,Kalampur,33.1,81,,,,,,,,,,,,,,,
Gabtoli,Kallyanpur,2.4,10,,,,,,,,,,,,,,,
Gabtoli,Kalshi,8.2,20,,,,,,,,,,,,,,,
Gabtoli,Kalshi Moor,11.1,27,,,,,,,,,,,,,,,
Gabtoli,Kamarpara,20.7,51,,,,,,,,,,,,,,,
Gabtoli,Kuril Bishwaroad,15.6,38,,,,,,,,,,,,,,,
Gabtoli,Link Road,20.3,50,,,,,,,,,,,,,,,
Gabtoli,Malibagh,10.4,25,,,,,,,,,,,,,,,
Gabtoli,Manikganj,51,125,,,,,,,,,,,,,,,
Gabtoli,Maowa,50.2,123,,,,,,,,,,,,,,,
Gabtoli,Matsya Bhaban,9.5,23,,,,,,,,,,,,,,,
Gabtoli,Meradia Bazar,25.6,63,,,,,,,,,,,,,,,
Gabtoli,Mirpur 1,3.1,10,,,,,,,,,,,,,,,
Gabtoli,Mirpur 10,5,12,,,,,,,,,,,,,,,
Gabtoli,Mirpur 11,7.4,18,,,,,,,,,,,,,,,
Gabtoli,Mirpur 2,4.6,11,,,,,,,,,,,,,,,
Gabtoli,Mirpur 6,5.9,14,,,,,,,,,,,,,,,
Gabtoli,Mogbazar,9.1,22,,,,,,,,,,,,,,,
Gabtoli,Mohakhali,12.5,31,,,,,,,,,,,,,,,
Gabtoli,Motijheel,14.4,35,,,,,,,,,,,,,,,
Gabtoli,Nabinagar,22.5,55,,,,,,,,,,,,,,,
Gabtoli,Nandan Park,36.9,90,,,,,,,,,,,,,,,
Gabtoli,Narayanganj Chashara,28.5,70,,,,,,,,,,,,,,,
Gabtoli,Narayanganj Link Road,21.6,53,,,,,,,,,,,,,,,
Gabtoli,New Market,7.6,19,,,,,,,,,,,,,,,
Gabtoli,Notun Bazar,13.5,33,,,,,,,,,,,,,,,
Gabtoli,Paltan,12.1,30,,,,,,,,,,,,,,,
Gabtoli,Paturia,78.3,192,,,,,,,,,,,,,,,
Gabtoli,Press Club,10.1,25,,,,,,,,,,,,,,,
Gabtoli,Proshika Moor,3.3,10,,,,,,,,,,,,,,,
Gabtoli,Rampura,22.6,55,,,,,,,,,,,,,,,
Gabtoli,Sadarghat Victoria Park,16.5,40,,,,,,,,,,,,,,,
Gabtoli,Savar,13.8,34,,,,,,,,,,,,,,,
Gabtoli,Sayedabad,14.1,35,,,,,,,,,,,,,,,
Gabtoli,Shahbag,8.5,21,,,,,,,,,,,,,,,
Gabtoli,Shanir Akhra,16.2,40,,,,,,,,,,,,,,,
Gabtoli,Shewra Bazar,11.2,27,,,,,,,,,,,,,,,
Gabtoli,Shyamoli,2.5,10,,,,,,,,,,,,,,,
Gabtoli,Sign Board,19.8,49,,,,,,,,,,,,,,,
Gabtoli,Staff Quarter,31.6,77,,,,,,,,,,,,,,,
Gabtoli,Technical,1,10,,,,,,,,,,,,,,,
Gabtoli,Tikatuli,15.5,38,,,,,,,,,,,,,,,
Gabtoli,Utholi,70.7,173,,,,,,,,,,,,,,,
Gabtoli,Zillur Rahman Flyover,8.6,21,,,,,,,,,,,,,,,
Gabtoli Bridge Par,Abdullahpur,21.7,53,,,,,,,,,,,,,,,
Gabtoli Bridge Par,Airport,18,44,,,,,,,,,,,,,,,
Gabtoli Bridge Par,ECB Square,11.7,29,,,,,,,,,,,,,,,
Gabtoli Bridge Par,Gazipur,36.7,90,,,,,,,,,,,,,,,
Gabtoli Bridge Par,Gulshan 1,18.9,46,,,,,,,,,,,,,,,
Gabtoli Bridge Par,Kakoli,15.6,38,,,,,,,,,,,,,,,
Gabtoli Bridge Par,Kalshi,9.9,24,,,,,,,,,,,,,,,
Gabtoli Bridge Par,Kalshi Moor,9.5,23,,,,,,,,,,,,,,,
Gabtoli Bridge Par,Khilkhet,15,37,,,,,,,,,,,,,,,
Gabtoli Bridge Par,Madhya Badda,21.4,52,,,,,,,,,,,,,,,
Gabtoli Bridge Par,Meradia Bazar,26.5,65,,,,,,,,,,,,,,,
Gabtoli Bridge Par,Mirpur 1,2,10,,,,,,,,,,,,,,,
Gabtoli Bridge Par,Mirpur 10,4.8,12,,,,,,,,,,,,,,,
Gabtoli Bridge Par,Mirpur 11,6.4,16,,,,,,,,,,,,,,,
Gabtoli Bridge Par,Mirpur 2,3.8,10,,,,,,,,,,,,,,,
Gabtoli Bridge Par,Mohakhali,17.1,42,,,,,,,,,,,,,,,
Gabtoli Bridge Par,Purobi,6.9,17,,,,,,,,,,,,,,,
Gabtoli Bridge Par,Technical,1.8,10,,,,,,,,,,,,,,,
Gandaria,Arambagh,4.2,10,,,,,,,,,,,,,,,
Gandaria,Asad Gate,10.3,25,,,,,,,,,,,,,,,
Gandaria,City College,8,20,,,,,,,,,,,,,,,
Gandaria,College Gate,11.7,29,,,,,,,,,,,,,,,
Gandaria,Dayagonj,0.7,10,,,,,,,,,,,,,,,
Gandaria,Dhanmondi 27,9.5,23,,,,,,,,,,,,,,,
Gandaria,Dhanmondi 32,9,22,,,,,,,,,,,,,,,
Gandaria,Gabtoli,14.6,36,,,,,,,,,,,,,,,
Gandaria,Ittefaq Moor,2.3,10,,,,,,,,,,,,,,,
Gandaria,Jurain,1.5,10,,,,,,,,,,,,,,,
Gandaria,Kakrail,5,12,,,,,,,,,,,,,,,
Gandaria,Kalabagan,8.5,21,,,,,,,,,,,,,,,
Gandaria,Kallyanpur,12.5,31,,,,,,,,,,,,,,,
Gandaria,Katabon,6.6,16,,,,,,,,,,,,,,,
Gandaria,Matsya Bhaban,5.2,13,,,,,,,,,,,,,,,
Gandaria,Motijheel,3,10,,,,,,,,,,,,,,,
Gandaria,Postogola,1.7,10,,,,,,,,,,,,,,,
Gandaria,Science Lab,7.5,18,,,,,,,,,,,,,,,
Gandaria,Shahbag,6,15,,,,,,,,,,,,,,,
Gandaria,Shishu Mela,11.7,29,,,,,,,,,,,,,,,
Gandaria,Shukrabad,9,22,,,,,,,,,,,,,,,
Gandaria,Shyamoli,11.9,29,,,,,,,,,,,,,,,
Gandaria,Technical,13.5,33,,,,,,,,,,,,,,,
Gandaria,Tikatuli,2.5,10,,,,,,,,,,,,,,,
Garrison Cantonment,Adamjee School,0.5,10,,,,,,,,,,,,,,,
Garrison Cantonment,Balughat,5,12,,,,,,,,,,,,,,,
Garrison Cantonment,Bangla Motor,6,15,,,,,,,,,,,,,,,
Garrison Cantonment,Bijoy Sarani,3.8,10,,,,,,,,,,,,,,,
Garrison Cantonment,CMH,1.7,10,,,,,,,,,,,,,,,
Garrison Cantonment,ECB Square,3,10,,,,,,,,,,,,,,,
Garrison Cantonment,Farmgate,4.4,11,,,,,,,,,,,,,,,
Garrison Cantonment,Gulistan,9,22,,,,,,,,,,,,,,,
Garrison Cantonment,Jahangir Gate,2.7,10,,,,,,,,,,,,,,,
Garrison Cantonment,Kalshi,4.8,12,,,,,,,,,,,,,,,
Garrison Cantonment,Kawran Bazar,5.4,13,,,,,,,,,,,,,,,
Garrison Cantonment,Mirpur DOHS,7,17,,,,,,,,,,,,,,,
Garrison Cantonment,Motijheel,11,27,,,,,,,,,,,,,,,
Garrison Cantonment,Paltan,8.5,21,,,,,,,,,,,,,,,
Garrison Cantonment,Saudi Colony,2.2,10,,,,,,,,,,,,,,,
Garrison Cantonment,Shahbag,7,17,,,,,,,,,,,,,,,
Garrison Cantonment,Signal,2.5,10,,,,,,,,,,,,,,,
Garrison Cantonment,Workshop,1.5,10,,,,,,,,,,,,,,,
Gausia/Chandnichok,Azimpur,0.96,10,,,,,,,,,,,,,,,
Gausia/Chandnichok,Chankhar Pul,3.35,10,,,,,,,,,,,,,,,
Gausia/Chandnichok,Paglabazar,14.32,35,,,,,,,,,,,,,,,
Gausia/Chandnichok,Postogola,8.67,21,,,,,,,,,,,,,,,
Gazipur,Chandra,17.3,42,,,,,,,,,,,,,,,
Gazipur,Konabari,7,17,,,,,,,,,,,,,,,
Gazipur,Safipur,13,32,,,,,,,,,,,,,,,
Gazipur Bypass,Abdullahpur,18.5,45,,,,,,,,,,,,,,,
Gazipur Bypass,Airport,21,51,,,,,,,,,,,,,,,
Gazipur Bypass,Azampur,19.5,48,,,,,,,,,,,,,,,
Gazipur Bypass,Badda,28.7,70,,,,,,,,,,,,,,,
Gazipur Bypass,Banani,28,69,,,,,,,,,,,,,,,
Gazipur Bypass,Bashabo,25,61,,,,,,,,,,,,,,,
Gazipur Bypass,Bashtola,22.4,55,,,,,,,,,,,,,,,
Gazipur Bypass,Bashundhara,20.4,50,,,,,,,,,,,,,,,
Gazipur Bypass,Board Bazar,3.6,10,,,,,,,,,,,,,,,
Gazipur Bypass,Chairman Bari,28,69,,,,,,,,,,,,,,,
Gazipur Bypass,Chasara,50,123,,,,,,,,,,,,,,,
Gazipur Bypass,Dholairpar,40.1,98,,,,,,,,,,,,,,,
Gazipur Bypass,ECB Square,27.3,67,,,,,,,,,,,,,,,
Gazipur Bypass,Gabtoli,35,86,,,,,,,,,,,,,,,
Gazipur Bypass,Gazipur Chowrasta,4,10,,,,,,,,,,,,,,,
Gazipur Bypass,Hazipara,27.1,66,,,,,,,,,,,,,,,
Gazipur Bypass,House Building,12,29,,,,,,,,,,,,,,,
Gazipur Bypass,Jalkuri,50,123,,,,,,,,,,,,,,,
Gazipur Bypass,Jamuna Future Park,20,49,,,,,,,,,,,,,,,
Gazipur Bypass,Jatrabari,34.5,85,,,,,,,,,,,,,,,
Gazipur Bypass,Kakoli,28,69,,,,,,,,,,,,,,,
Gazipur Bypass,Kalshi,29,71,,,,,,,,,,,,,,,
Gazipur Bypass,Kamalapur,37.2,91,,,,,,,,,,,,,,,
Gazipur Bypass,Khilgaon,22.9,56,,,,,,,,,,,,,,,
Gazipur Bypass,Khilkhet,23,56,,,,,,,,,,,,,,,
Gazipur Bypass,Kuril Bishwaroad,19.7,48,,,,,,,,,,,,,,,
Gazipur Bypass,Kuril Chowrasta,19.8,49,,,,,,,,,,,,,,,
Gazipur Bypass,MES,18,44,,,,,,,,,,,,,,,
Gazipur Bypass,Malibaag Moor,28.5,70,,,,,,,,,,,,,,,
Gazipur Bypass,Malibagh Railgate,27.6,68,,,,,,,,,,,,,,,
Gazipur Bypass,Maniknagar,37.6,92,,,,,,,,,,,,,,,
Gazipur Bypass,Matuail,43.7,107,,,,,,,,,,,,,,,
Gazipur Bypass,Merul Badda,25,61,,,,,,,,,,,,,,,
Gazipur Bypass,Mill Gate,15.1,37,,,,,,,,,,,,,,,
Gazipur Bypass,Mirpur 1,30,74,,,,,,,,,,,,,,,
Gazipur Bypass,Mirpur 10,28.5,70,,,,,,,,,,,,,,,
Gazipur Bypass,Mirpur 11,27,66,,,,,,,,,,,,,,,
Gazipur Bypass,Mirpur 2,28.8,71,,,,,,,,,,,,,,,
Gazipur Bypass,Mogbazar,34.5,85,,,,,,,,,,,,,,,
Gazipur Bypass,Mohakhali,30,74,,,,,,,,,,,,,,,
Gazipur Bypass,Mouchak,38.3,94,,,,,,,,,,,,,,,
Gazipur Bypass,Mugda,30.6,75,,,,,,,,,,,,,,,
Gazipur Bypass,Nabisco,31.1,76,,,,,,,,,,,,,,,
Gazipur Bypass,Nadda,20.7,51,,,,,,,,,,,,,,,
Gazipur Bypass,Notun Bazar,22,54,,,,,,,,,,,,,,,
Gazipur Bypass,Postogola,37,91,,,,,,,,,,,,,,,
Gazipur Bypass,Purobi,31,76,,,,,,,,,,,,,,,
Gazipur Bypass,Rajlakshmi,18.7,46,,,,,,,,,,,,,,,
Gazipur Bypass,Rampura Bazar,26.4,65,,,,,,,,,,,,,,,
Gazipur Bypass,Rampura Bridge,25.4,62,,,,,,,,,,,,,,,
Gazipur Bypass,Rayerbag,37.1,91,,,,,,,,,,,,,,,
Gazipur Bypass,Satrasta,32.4,79,,,,,,,,,,,,,,,
Gazipur Bypass,Sayedabad,33.5,82,,,,,,,,,,,,,,,
Gazipur Bypass,Shahjadpur,22.2,54,,,,,,,,,,,,,,,
Gazipur Bypass,Shanir Akhra,36.1,88,,,,,,,,,,,,,,,
Gazipur Bypass,Shewra,18.9,46,,,,,,,,,,,,,,,
Gazipur Bypass,Shibu Market,52.8,129,,,,,,,,,,,,,,,
Gazipur Bypass,Sign Board,40,98,,,,,,,,,,,,,,,
Gazipur Bypass,Sony Cinema Hall,28,69,,,,,,,,,,,,,,,
Gazipur Bypass,Staff Road,26.2,64,,,,,,,,,,,,,,,
Gazipur Bypass,Station Road,15.5,38,,,,,,,,,,,,,,,
Gazipur Bypass,TT Para,38,93,,,,,,,,,,,,,,,
Gazipur Bypass,Tongi,15.5,38,,,,,,,,,,,,,,,
Gazipur Bypass,Uttar Badda,23.4,57,,,,,,,,,,,,,,,
Gazipur Bypass,Uttara Jashimuddin,18,44,,,,,,,,,,,,,,,
Gazipur Chowrasta,Airport,17,42,,,,,,,,,,,,,,,
Gazipur Chowrasta,Bagher Bazar,20.8,51,,,,,,,,,,,,,,,
Gazipur Chowrasta,Banani,25.4,62,,,,,,,,,,,,,,,
Gazipur Chowrasta,Bormi,41,100,,,,,,,,,,,,,,,
Gazipur Chowrasta,Gazipur,5,12,,,,,,,,,,,,,,,
Gazipur Chowrasta,Hotapara,15.8,39,,,,,,,,,,,,,,,
Gazipur Chowrasta,Kapashia,29.5,72,,,,,,,,,,,,,,,
Gazipur Chowrasta,Maona Chowrasta,23.5,58,,,,,,,,,,,,,,,
Gazipur Chowrasta,Mogbazar,32.3,79,,,,,,,,,,,,,,,
Gazipur Chowrasta,Mohakhali,25,61,,,,,,,,,,,,,,,
Gazipur Chowrasta,Nabisco,28.1,69,,,,,,,,,,,,,,,
Gazipur Chowrasta,Fulbaria,36.5,89,,,,,,,,,,,,,,,
Gazipur Chowrasta,Rajabari,22.3,55,,,,,,,,,,,,,,,
Gazipur Chowrasta,Rajendrapur,12.1,30,,,,,,,,,,,,,,,
Gazipur Chowrasta,Rajendrapur Bazar,17.5,43,,,,,,,,,,,,,,,
Gazipur Chowrasta,Sreepur,34.1,84,,,,,,,,,,,,,,,
Gazipur Chowrasta,Tongi,11.5,28,,,,,,,,,,,,,,,
Ghatar Char,Asad Gate,5.56,14,,,,,,,,,,,,,,,
Ghatar Char,Azimpur,10.9,27,,,,,,,,,,,,,,,
Ghatar Char,Bangla Motor,8.92,22,,,,,,,,,,,,,,,
Ghatar Char,Bosila,1.83,10,,,,,,,,,,,,,,,
Ghatar Char,Bosila CNG Stand,3.48,10,,,,,,,,,,,,,,,
Ghatar Char,Chankhar Pul,12.54,31,,,,,,,,,,,,,,,
Ghatar Char,City College,9.2,23,,,,,,,,,,,,,,,
Ghatar Char,Demra Staff Quarter,22.27,55,,,,,,,,,,,,,,,
Ghatar Char,Dhaka College,9.8,24,,,,,,,,,,,,,,,
Ghatar Char,Dhanmondi,6.8,17,,,,,,,,,,,,,,,
Ghatar Char,Dhanmondi 15,7.7,19,,,,,,,,,,,,,,,
Ghatar Char,Dhupkhola,20.5,50,,,,,,,,,,,,,,,
Ghatar Char,Fakirapul,12.46,31,,,,,,,,,,,,,,,
Ghatar Char,Farmgate,7.4,18,,,,,,,,,,,,,,,
Ghatar Char,Gausia/Chandnichok,9.19,23,,,,,,,,,,,,,,,
Ghatar Char,Gulistan,14.3,35,,,,,,,,,,,,,,,
Ghatar Char,Hanif Flyover,14.8,36,,,,,,,,,,,,,,,
Ghatar Char,Jigatola,8.4,21,,,,,,,,,,,,,,,
Ghatar Char,Kajla,16.99,42,,,,,,,,,,,,,,,
Ghatar Char,Kakrail,11.3,28,,,,,,,,,,,,,,,
Ghatar Char,Kalabagan,7.27,18,,,,,,,,,,,,,,,
Ghatar Char,Kanchpur Bridge,27.3,67,,,,,,,,,,,,,,,
Ghatar Char,Kawran Bazar,8.23,20,,,,,,,,,,,,,,,
Ghatar Char,Konapara,19.89,49,,,,,,,,,,,,,,,
Ghatar Char,Madanpur,30.3,74,,,,,,,,,,,,,,,
Ghatar Char,Matsya Bhaban,10.52,26,,,,,,,,,,,,,,,
Ghatar Char,Mohamamdpur,6,15,,,,,,,,,,,,,,,
Ghatar Char,Mohammadpur,4.3,11,,,,,,,,,,,,,,,
Ghatar Char,Mohammadpur Bosila Road,3.72,10,,,,,,,,,,,,,,,
Ghatar Char,Mohammadpur Bus Stand,4.27,10,,,,,,,,,,,,,,,
Ghatar Char,Motijheel Hirajhil,13.58,33,,,,,,,,,,,,,,,
Ghatar Char,Notre Dame College,13,32,,,,,,,,,,,,,,,
Ghatar Char,New Market,10.2,25,,,,,,,,,,,,,,,
Ghatar Char,Nilkhet,11.9,29,,,,,,,,,,,,,,,
Ghatar Char,Paglabazar,23.51,58,,,,,,,,,,,,,,,
Ghatar Char,Postogola,17.86,44,,,,,,,,,,,,,,,
Ghatar Char,Press Club,12.3,30,,,,,,,,,,,,,,,
Ghatar Char,Rayerbag,20.3,50,,,,,,,,,,,,,,,
Ghatar Char,Science Lab,9.6,24,,,,,,,,,,,,,,,
Ghatar Char,Shahbag,9.7,24,,,,,,,,,,,,,,,
Ghatar Char,Shanir Akhra,19.3,47,,,,,,,,,,,,,,,
Ghatar Char,Shankar,6.9,17,,,,,,,,,,,,,,,
Ghatar Char,Shyamoli,6.3,15,,,,,,,,,,,,,,,
Ghatar Char,Sobhanbag,6.34,16,,,,,,,,,,,,,,,
Ghatar Char,Sonargaon,39.4,97,,,,,,,,,,,,,,,
Ghatar Char,Tikatuli,14.16,35,,,,,,,,,,,,,,,
Ghatar Char,Town Hall,4.79,12,,,,,,,,,,,,,,,
Ghatar Char,Washpur,0.95,10,,,,,,,,,,,,,,,
Golap Shah Mazar,Babubazar Bridge,2,10,,,,,,,,,,,,,,,
Golap Shah Mazar,Bejgaon Chowrasta,27.9,68,,,,,,,,,,,,,,,
Golap Shah Mazar,Keraniganj,3,10,,,,,,,,,,,,,,,
Golap Shah Mazar,Maowa,38.8,95,,,,,,,,,,,,,,,
Golap Shah Mazar,Naya Bazar,1.5,10,,,,,,,,,,,,,,,
Golapbagh,Amin Bazar,15.7,38,,,,,,,,,,,,,,,
Golapbagh,Ansar Camp,16.2,40,,,,,,,,,,,,,,,
Golapbagh,Asad Gate,10.5,26,,,,,,,,,,,,,,,
Golapbagh,Bangla Motor,7.2,18,,,,,,,,,,,,,,,
Golapbagh,Bashabo,2.5,10,,,,,,,,,,,,,,,
Golapbagh,Chiriyakhana,17,42,,,,,,,,,,,,,,,
Golapbagh,Chittagong Road,9,22,,,,,,,,,,,,,,,
Golapbagh,College Gate,11,27,,,,,,,,,,,,,,,
Golapbagh,Farmgate,8,20,,,,,,,,,,,,,,,
Golapbagh,Gabtoli,15,37,,,,,,,,,,,,,,,
Golapbagh,Hemayetpur,23.5,58,,,,,,,,,,,,,,,
Golapbagh,Janapoth Moor,0.8,10,,,,,,,,,,,,,,,
Golapbagh,Jatrabari,1.2,10,,,,,,,,,,,,,,,
Golapbagh,Kajla,2.3,10,,,,,,,,,,,,,,,
Golapbagh,Kallyanpur,14.5,36,,,,,,,,,,,,,,,
Golapbagh,Kawran Bazar,7,17,,,,,,,,,,,,,,,
Golapbagh,Khamar Bari,10,25,,,,,,,,,,,,,,,
Golapbagh,Khilgaon flyover,3.5,10,,,,,,,,,,,,,,,
Golapbagh,Malibaag Moor,4.5,11,,,,,,,,,,,,,,,
Golapbagh,Maniknagar,0.5,10,,,,,,,,,,,,,,,
Golapbagh,Matuail,5.5,13,,,,,,,,,,,,,,,
Golapbagh,Mirpur 1,15,37,,,,,,,,,,,,,,,
Golapbagh,Mogbazar,5.9,14,,,,,,,,,,,,,,,
Golapbagh,Mouchak,5,12,,,,,,,,,,,,,,,
Golapbagh,Mugda,1.5,10,,,,,,,,,,,,,,,
Golapbagh,Rajarbag,3.9,10,,,,,,,,,,,,,,,
Golapbagh,Rayerbag,3.8,10,,,,,,,,,,,,,,,
Golapbagh,Sanarpar,7.3,18,,,,,,,,,,,,,,,
Golapbagh,Savar,29.2,72,,,,,,,,,,,,,,,
Golapbagh,Sayedabad,0.2,10,,,,,,,,,,,,,,,
Golapbagh,Shanir Akhra,3,10,,,,,,,,,,,,,,,
Golapbagh,Shishu Mela,12.2,30,,,,,,,,,,,,,,,
Golapbagh,Shyamoli,12.5,31,,,,,,,,,,,,,,,
Golapbagh,Sign Board,8.8,22,,,,,,,,,,,,,,,
Golapbagh,Technical,15.3,37,,,,,,,,,,,,,,,
GPO,Chasara Bus Stand,18.7,46,,,,,,,,,,,,,,,
GPO,Jatrabari,5.1,12,,,,,,,,,,,,,,,
GPO,Mayor Mohammad Hanif Flyover,1.5,10,,,,,,,,,,,,,,,
GPO,Motijheel,1.8,10,,,,,,,,,,,,,,,
GPO,Narayanganj,20.5,50,,,,,,,,,,,,,,,
GPO,Sayedabad,4.1,10,,,,,,,,,,,,,,,
GPO,Shanir Akhra,6.7,16,,,,,,,,,,,,,,,
GPO,Sign Board,10.1,25,,,,,,,,,,,,,,,
GPO,Tikatuli,2.9,10,,,,,,,,,,,,,,,
Gulistan,Abdullahpur,23.9,59,,,,,,,,,,,,,,,
Gulistan,Adamjee School,8.5,21,,,,,,,,,,,,,,,
Gulistan,Agargaon,8.4,21,,,,,,,,,,,,,,,
Gulistan,Airport,16,39,,,,,,,,,,,,,,,
Gulistan,Amin Bazar,6,15,,,,,,,,,,,,,,,
Gulistan,Ansar Camp,12,29,,,,,,,,,,,,,,,
Gulistan,Arambagh,1.8,10,,,,,,,,,,,,,,,
Gulistan,Asad Gate,6.8,17,,,,,,,,,,,,,,,
Gulistan,Azampur,15.8,39,,,,,,,,,,,,,,,
Gulistan,Azimpur,5.2,13,,,,,,,,,,,,,,,
Gulistan,Babubazar Bridge,4,10,,,,,,,,,,,,,,,
Gulistan,Badda,7.4,18,,,,,,,,,,,,,,,
Gulistan,Badda Link Road,7,17,,,,,,,,,,,,,,,
Gulistan,Baipail,37.1,91,,,,,,,,,,,,,,,
Gulistan,Baitul Mukarram,0.3,10,,,,,,,,,,,,,,,
Gulistan,Bakshi Bazar,2.3,10,,,,,,,,,,,,,,,
Gulistan,Balughat,14,34,,,,,,,,,,,,,,,
Gulistan,Banani,11.1,27,,,,,,,,,,,,,,,
Gulistan,Bangla Motor,3.5,10,,,,,,,,,,,,,,,
Gulistan,Bangladesh Bank,1.3,10,,,,,,,,,,,,,,,
Gulistan,Barpa,15.1,37,,,,,,,,,,,,,,,
Gulistan,Bashabo,3.8,10,,,,,,,,,,,,,,,
